,line,Phrasal_Cmp,Clausal_Cmp,Implicit_Cmp,More_Cmp,ER_Cmp,answer_id,level_id,class_id,question_id,version,text_len,sentence_len,COLA_T5large,gpt2_target_surprisal,distilgpt2_target_surprisal,gptneo_target_surprisal,davinci002_target_surprisal,llama2_target_surprisal,gpt2_sent_surprisal,distilgpt2_sent_surprisal,gptneo_sent_surprisal,davinci002_sent_surprisal,llama2_sent_surprisal,gpt2_len_tokens,distilgpt2_len_tokens,gptneo_len_tokens,tag,Writing_Sample,Writing_Proficiency,target_issue_flag
10,10,1,0,0,0,1,2113,4,w,208,1,399,12,1,6.79,9.28,5.3,2.903,2.95,3.61,3.81,3.21,3.79,3.64,12,12,12,0,4,high,
11,11,1,0,0,1,0,173,4,g,5,2,154,12,0,13.7,13.22,10.56,6.551,9.96,5.07,5.19,4.58,4.96,4.58,12,12,12,,2,low,
12,12,1,0,0,1,0,173,4,g,5,2,154,10,1,9.13,9.64,9.14,4.79,8.81,3.98,4.33,3.87,4.29,3.46,13,13,13,0,2,low,
13,13,0,0,1,0,1,2908,4,w,349,1,176,19,0,8.34,8.33,7.96,5.384,7.93,5.94,6.08,5.61,5.99,5.54,19,19,19,,2,low,
14,14,0,0,1,1,0,3005,4,w,365,1,155,12,1,6.14,5.01,4.47,1.045,6.92,4.58,4.74,4.4,4.71,4.61,11,11,11,,2,low,
15,15,0,0,1,0,1,3370,4,w,399,1,112,13,0,3.7,3.51,6.34,3.664,5.23,5.71,5.78,5.81,5.54,5.7,15,15,15,,2,low,
16,16,0,0,1,1,0,5064,4,g,640,1,150,18,0,5.37,5.12,4.58,3.008,4.7,4.62,4.85,4.18,4.24,3.59,18,18,18,,2,low,
17,17,0,0,1,1,0,5064,4,g,640,1,150,14,0,7.95,7.87,7.84,5.008,8.37,6.07,5.85,6.09,6.43,6.37,14,14,14,,2,low,
18,18,0,0,1,1,0,5064,4,g,640,1,150,20,0,4.54,5.27,3.69,3.056,6.15,4.69,4.9,4.44,,4.7,23,23,23,,2,low,
19,19,1,0,0,1,0,11777,5,g,1684,1,189,15,1,5.58,4.84,5.53,3.539,3.22,4.34,4.66,3.95,4.01,3.14,15,15,15,0,2,low,
20,20,0,0,1,1,0,11919,5,g,1740,1,356,15,1,5.72,5.91,4.92,,5.66,5.47,5.35,5.04,,4.2,20,20,20,,2,low,
21,21,0,0,1,1,0,11919,5,g,1740,1,356,20,0,5.77,5.78,5.61,2.462,4.13,5.36,5.72,5.08,5.12,4.45,20,20,20,,2,low,
22,22,0,0,1,1,0,11919,5,g,1740,1,356,14,0,6.05,6.82,7.13,5.626,7.58,6.29,6.66,6.33,6.9,6.53,13,13,13,,2,low,
23,23,0,0,1,0,1,12135,5,w,1782,1,613,7,1,11.93,10.12,11.67,7.5,13.39,5.81,6.45,5,6,6.07,6,6,6,,2,low,
24,24,0,0,1,0,1,143,5,w,17,1,96,12,1,7.11,6.88,9.23,4.981,6.19,3.91,4.76,3.93,4.12,2.71,13,13,13,,3.7,high,
25,25,0,0,1,1,0,143,5,w,17,1,96,8,1,7.95,7.44,7.9,5.337,8.36,6.57,7.13,6.43,6.99,5.87,7,7,7,,3.7,high,
26,26,0,0,1,1,0,985,5,g,95,1,183,19,1,5.06,6.12,5.77,2.727,6.55,3.45,3.9,3.15,3.53,3.31,19,19,19,,3.7,high,
27,27,0,0,1,1,0,985,5,g,95,1,183,19,1,7.45,9.16,6.26,4.925,7.92,3.45,3.63,3.47,3.77,3.41,19,19,19,,3.7,high,
28,28,1,0,0,0,1,1377,5,w,132,1,109,10,1,6.66,6.95,6.29,,6.49,4.12,4.66,3.81,,4.5,11,11,11,0,3.7,high,
29,29,0,0,1,0,1,1613,5,g,152,1,227,11,1,20.28,21.01,19.32,12.41,17.98,5.11,5.65,4.66,5.05,5.01,11,11,11,,3.7,high,
30,30,0,0,1,0,1,2148,5,g,207,1,309,16,1,0.31,0.08,0.61,1.356,1.08,5.41,5.65,5.66,5.39,5.33,15,15,15,,3.7,high,
31,31,0,0,1,0,1,2397,4,w,278,1,170,11,0,19.73,17.67,18.86,11.619,15.08,7.46,8.07,6.27,6.06,5.61,11,11,11,,3.7,high,
32,32,0,0,1,1,0,2397,4,w,278,1,170,18,0,5.91,6.12,6.22,4.566,6.32,5.41,5.83,5.18,5.33,4.53,19,19,19,,3.7,high,
33,33,0,0,1,0,1,3011,4,w,365,2,290,19,0,14.41,14.97,14.49,10.334,17.1,5.45,5.96,5.2,5.2,4.57,20,20,20,,3.7,high,
34,34,1,0,0,1,0,3665,4,w,428,1,182,12,0,11.86,13.04,12.04,7.444,10.9,7.12,7.7,7.01,7.09,6.53,11,11,11,,3.7,high,
35,35,0,0,1,1,0,162,4,g,18,1,108,8,0,8.48,7.77,8.23,5.352,7.87,5.02,5.73,5.21,5.61,5.82,7,7,7,,3,low,
36,36,0,0,1,0,1,432,4,g,45,1,108,8,1,0,0,0,,0,3.69,4.19,3.6,4.96,4.84,8,8,8,,3,low,FLAGGED
37,37,0,0,1,0,1,540,4,g,56,1,68,12,1,6.85,8.53,7.62,3.114,7.04,4.98,5.77,5.13,5.22,4.65,12,12,12,,3,low,
38,38,0,0,1,0,1,541,4,g,56,2,68,12,1,8.88,9.38,7.42,3.114,6.5,5.08,5.59,4.8,5.22,4.3,14,14,14,,3,low,
39,39,0,0,1,1,0,983,4,g,96,1,134,19,1,4.44,4.37,3.58,0.027,6.36,3.09,3.48,2.8,2.87,2.91,19,19,19,,3,low,
40,40,1,0,0,0,1,1042,3,w,99,1,155,11,1,4.77,4.02,2.42,,1.62,4.12,4.8,3.51,,3.67,19,19,19,0,3,low,
41,41,1,0,0,0,1,1042,3,w,99,1,155,14,0,6.86,5.93,6.33,4.414,6.03,3.7,3.99,3.43,4.3,3.62,20,20,20,,3,low,
42,42,1,0,0,0,1,1256,3,w,99,2,167,11,1,3.29,3.91,1.94,0.792,1.46,3.14,3.66,2.79,4.46,3.09,18,18,18,0,3,low,
43,43,1,0,0,0,1,1256,3,w,99,2,167,13,1,7.66,7.43,7.86,8.937,8.17,3.34,3.87,2.98,4.65,3.38,19,19,19,0,3,low,
44,44,0,0,1,0,1,1666,4,g,170,1,80,19,1,12.84,14.04,13.55,10.001,6.76,4.55,5.02,4.51,4.2,4.03,20,20,20,,3,low,
45,45,0,0,1,1,0,1666,4,g,170,1,80,14,1,5.41,5.85,6.51,4.462,6.84,4.91,5.33,4.72,4.69,4.32,13,13,13,,3,low,
46,46,0,0,1,1,0,1666,4,g,170,1,80,20,0,3.83,5.1,5,0.633,8.31,5.52,5.87,5.08,4.43,4.48,19,19,19,,3,low,
47,47,0,0,1,0,1,9555,5,g,1355,1,160,13,1,1.87,2.82,2.51,1.581,2.9,3.02,3.52,3.22,3.22,3.59,12,12,12,,3,low,
48,48,0,0,1,1,0,191,4,g,20,1,274,19,1,4.34,5.14,3.28,1.425,3.25,4.73,4.89,4.73,4.5,4.53,18,18,18,,4,high,
49,49,1,0,0,1,0,191,4,g,20,1,274,10,0,11.4,11.36,11.94,8.065,12.17,6,6.77,6,5.84,5.55,9,9,9,,4,high,
50,50,0,0,1,0,1,191,4,g,20,1,274,15,0,12.44,10.36,11.81,,11.22,5.65,6.29,5.35,,5.31,17,17,17,,4,high,
51,51,0,0,1,1,0,191,4,g,20,1,274,19,1,4.32,3.2,3.91,2.27,3.03,4.25,4.6,4.28,4.02,3.78,20,20,20,,4,high,
52,52,1,0,0,0,1,1899,4,g,179,1,172,8,1,9.82,10.44,10.03,4.888,6.79,3.34,4.21,3.1,3.64,2.95,11,11,11,0,4,high,
53,53,0,0,1,1,0,1899,4,g,179,1,172,17,0,4.21,5.21,4.15,3.304,4.77,4.91,4.96,4.58,4.71,4.82,16,16,16,,4,high,
54,54,0,0,1,0,1,1909,4,g,180,1,126,6,1,11.87,12.98,12.68,8.396,11.19,3.84,4.71,3.75,4.24,4.41,5,5,5,,4,high,
55,55,0,0,1,1,0,1909,4,g,180,1,126,20,0,5.99,6.02,8.58,5.406,8.45,3.91,3.9,4.27,4.25,4.12,21,21,21,,4,high,
56,56,0,0,1,1,0,2981,5,w,342,1,355,19,1,3.9,4.11,2.24,0.04,2.51,3.87,4.47,3.76,3.8,3.71,20,20,20,,4,high,
57,57,0,0,1,1,0,3412,5,w,401,1,91,18,1,5.15,4.69,5.55,3.96,5.8,4.43,4.81,4.05,4.57,4,18,18,18,,4,high,
58,58,0,0,1,1,0,13099,5,g,1880,1,202,20,1,3.38,3.8,4.59,2.695,4.68,3.74,3.99,3.49,4.12,3.78,21,21,21,,4,high,
59,59,0,0,1,0,1,13225,5,g,1885,1,94,16,1,5.54,4.79,3.37,2.322,3.08,4.17,4.41,4.04,4.46,4.59,15,15,15,,4,high,
60,60,1,0,0,0,1,14172,5,g,2005,1,103,17,1,13.66,14.71,13.11,7.87,13,4.59,4.87,4.05,4.11,4.51,17,17,17,0,4,high,
61,61,0,0,1,0,1,14303,5,g,2021,1,151,10,1,6.69,6.43,6.73,4.807,6.56,4.59,4.94,4.58,5.13,5.56,9,9,9,,4,high,
62,62,1,0,0,0,1,14677,5,g,2109,1,182,14,0,9.98,10.24,13.93,7.035,8.29,5.19,5.33,5.2,5.41,5.71,14,14,14,,4,high,
63,63,0,0,1,0,1,217,4,g,28,1,210,17,1,9.57,10.18,8.16,5.527,7.59,3.35,3.86,2.82,3.03,2.99,17,17,17,,4,high,
64,64,1,0,0,1,0,801,4,w,76,1,168,15,1,1.63,0.95,1.44,1.202,1.63,3.39,3.96,3.12,3.71,3.46,15,15,15,0,4,high,
65,65,0,0,1,1,0,1241,4,g,113,1,211,15,1,5.16,4.81,5.44,2.4,4.23,3.37,3.57,3.5,4,4.35,15,15,15,,4,high,
66,66,0,0,1,1,0,1588,4,g,157,1,153,14,0,10.51,10.29,11.85,7.818,13.9,4.49,4.49,4.62,4.79,5.38,17,17,17,,4,high,
67,67,0,0,1,1,0,1588,4,g,157,1,153,17,1,7.92,8.32,7.7,2.403,6.32,3.74,3.96,3.79,3.96,4.03,18,18,18,,4,high,
68,68,0,0,1,1,0,1588,4,g,157,1,153,17,0,1.35,0.99,1.09,0.837,1.85,4.94,5.5,4.59,4.16,4.67,17,17,17,,4,high,
69,69,1,0,0,1,0,1588,4,g,157,1,153,15,1,6.63,7.19,7,3.222,6.44,4.68,5.08,4.27,4.41,4.55,16,16,16,0,4,high,
70,70,0,0,1,1,0,1627,4,w,166,1,320,17,1,4.8,6.45,4.23,3.123,6.28,4.34,4.94,3.78,3.82,3.81,17,17,17,,4,high,
71,71,1,0,0,1,0,1627,4,w,166,1,320,18,0,3.53,5.13,6.74,,6.58,6.5,6.71,6,,5.18,24,24,24,,4,high,
72,72,0,0,1,0,1,2060,4,g,202,1,173,20,0,9.45,10.03,9.83,6.769,10.39,3.66,4.21,3.59,3.54,3.1,22,22,22,,4,high,
73,73,0,0,1,0,1,2112,4,w,208,1,406,16,0,11,11.45,11.12,8.263,9.89,4.04,4.65,4.12,4.74,4.67,15,15,15,,4,high,
74,74,1,0,0,1,0,2149,4,g,210,1,177,19,1,3.66,3.5,4.56,2.865,5.06,2.75,3.14,2.58,3.33,2.65,19,19,19,0,4,high,
75,75,1,0,0,0,1,2896,5,r,319,1,215,19,1,5.98,9.11,3.34,1.287,1.83,4.66,5.09,4.36,4.07,3.92,19,19,19,0,4,high,
76,76,1,0,0,1,0,2896,5,r,319,1,215,20,0,1.5,0.92,1.96,0.521,1.37,5.19,5.51,4.8,4.64,4.48,20,20,20,,4,high,
77,77,1,0,0,0,1,2896,5,r,319,1,215,12,1,5.38,5.53,7.28,3.263,5.75,4.96,5.14,5.26,5.12,4.81,11,11,11,0,4,high,
78,78,0,0,1,0,1,3694,5,w,422,1,287,15,1,11.67,13.18,10.82,8.16,12.16,5.22,5.44,4.52,4.74,4.7,16,16,16,,4,high,
79,79,1,0,0,0,1,3694,5,w,422,1,287,12,0,7.57,7.88,8.79,4.863,7.14,4.62,5.29,4.38,4.76,4.42,14,14,14,,4,high,
80,80,1,0,0,0,1,4055,5,w,423,1,283,13,1,5.5,6.57,7.95,5.41,7.92,3.81,4.54,3.6,4.12,3.84,15,15,15,0,4,high,
81,81,0,0,1,0,1,3940,5,g,469,1,195,16,1,6.24,8.26,7.37,3.883,6.93,4.18,4.82,4.24,4.18,4.11,17,17,17,,4,high,
82,82,1,0,0,0,1,4526,5,w,551,1,479,13,0,3.17,3.17,3.16,1.027,1.32,5.21,5.45,4.85,4.71,4.58,14,14,14,,4,high,
83,83,0,0,1,1,0,257,3,w,34,1,97,20,0,8.99,8,7.59,3.806,6.45,4.06,4.29,4.18,3.92,3.97,20,20,20,,2,low,
84,84,1,0,0,0,1,1046,3,w,98,1,179,9,0,12.21,11.98,11.24,7.929,6.97,5.63,6.11,5.72,5.55,4.72,10,10,10,,2,low,
85,85,1,0,0,1,0,1046,3,w,98,1,179,20,0,6.09,6.47,4.25,2.932,3.53,4.58,5.1,4.69,4.32,4.5,19,19,19,,2,low,
86,86,1,0,0,1,0,1046,3,w,98,1,179,11,0,6.41,7.67,6.58,4.342,6.91,6.13,7.53,6.2,6.55,6.06,10,10,10,,2,low,
87,87,1,0,0,0,1,1046,3,w,98,1,179,8,1,13.27,16.4,9.99,4.953,4.68,6.2,6.67,4.84,5.87,4.57,9,9,9,0,2,low,
88,88,1,0,0,0,1,1046,3,w,98,1,179,9,0,13.8,15.69,14.81,7.895,14.96,4.94,5.52,5.04,5.16,4.83,10,10,10,,2,low,
89,89,1,0,0,1,0,1046,3,w,98,1,179,15,1,7.33,6.66,9.1,7.435,8.78,5.14,5.92,5.02,4.86,4.41,15,15,15,0,2,low,
90,90,1,0,0,0,1,1285,3,w,121,1,172,9,0,13.19,13.42,11.79,8.435,7.12,5.28,5.63,4.92,5.24,4.45,10,10,10,,2,low,
91,91,1,0,0,0,1,1285,3,w,121,1,172,20,1,8.55,9.27,7.34,5.801,8.53,3.88,4.4,3.7,3.75,3.96,20,20,20,0,2,low,
92,92,1,0,0,1,0,1285,3,w,121,1,172,13,1,6.46,7.27,6.64,4.523,6.65,4.5,5.38,4.2,4.79,4.86,12,12,12,0,2,low,
93,93,1,0,0,0,1,1285,3,w,121,1,172,9,1,13.27,16.4,9.99,4.953,4.68,5.47,5.91,4.09,5.01,4.18,10,10,10,0,2,low,
94,94,1,0,0,1,0,1285,3,w,121,1,172,16,1,5.78,7.46,6.6,4.355,6.89,4.14,4.66,3.78,4.05,4.19,17,17,17,0,2,low,
95,95,1,0,0,0,1,1285,3,w,121,1,172,9,1,13.27,14.37,13.9,7.45,9.81,4.13,4.82,4.27,4.41,4.03,10,10,10,0,2,low,
96,96,1,0,0,0,1,435,3,w,50,1,132,9,1,10.35,10.77,8.76,5.787,5.12,5.81,6.22,5.56,5.46,4.45,9,9,9,0,3.3,high,
97,97,1,0,0,1,0,1050,3,w,99,1,154,10,0,9.39,12.44,13.1,7.152,11.79,4.93,5.51,4.97,4.88,4.82,11,11,11,,3.3,high,
98,98,1,0,0,0,1,1384,3,w,120,1,188,17,1,4.61,5.7,3.18,,3.62,4.8,5.08,4.6,,4.16,18,18,18,0,3.3,high,
99,99,1,0,0,0,1,1384,3,w,120,1,188,8,0,16.7,16.21,17.03,,17.54,7.72,7.69,6.12,,5.99,7,7,7,,3.3,high,
100,100,1,0,0,0,1,1384,3,w,120,1,188,11,0,10.91,12.73,13,7.819,6,6.44,6.91,6.09,6.33,5.82,11,11,11,,3.3,high,
101,101,1,0,0,1,0,1384,3,w,120,1,188,11,0,9.41,9.98,7.99,6.408,11.07,6.31,7.03,6.09,6.02,6.16,11,11,11,,3.3,high,
102,102,1,0,0,0,1,1894,3,w,187,1,190,16,1,4.41,5.43,3.53,,6.16,4.74,4.95,4.5,,4.62,15,15,15,0,3.3,high,
103,103,0,0,1,1,0,2899,4,g,350,1,150,10,1,3.27,1.55,1.84,,2.36,5.85,6.14,5.45,,5.07,12,12,12,,3.3,high,
104,104,1,0,0,1,0,5097,4,g,640,1,107,18,0,9.56,9.58,11.11,7.233,10.84,4.99,5.31,4.77,5.1,4.31,19,19,19,,3.3,high,
105,105,1,0,0,1,0,5097,4,g,640,1,107,12,0,17.74,16.3,19.84,,20.23,5.37,5.62,4.42,,3.29,15,15,15,,3.3,high,
106,106,1,0,0,1,0,5097,4,g,640,1,107,12,0,12.67,11.89,14.24,9.973,14.82,5.47,5.47,5.54,5.65,4.15,11,11,11,,3.3,high,
107,107,0,0,1,0,1,6186,5,g,953,1,81,8,1,5.53,5.9,7.96,5.175,5.45,3.44,3.73,3.2,3.81,4.48,7,7,7,,3.3,high,
108,108,0,0,1,0,1,6180,5,w,959,1,163,14,0,9.61,10.68,7.15,3.752,6.42,5.95,6.24,5.42,5.23,5.35,13,13,13,,3.3,high,
109,109,0,0,1,0,1,6180,5,w,959,1,163,6,1,13.87,12.54,12.54,8.032,5.93,5.99,6.82,5.56,5.49,5.18,5,5,5,,3.3,high,
110,110,0,0,1,0,1,6614,5,w,961,1,132,19,0,16.07,15.83,9.61,1.644,6.08,6.05,6.26,5.39,4.94,4.31,22,22,22,,3.3,high,
111,111,1,0,0,0,1,1136,3,w,98,1,122,13,1,12.45,11.7,13.2,,12.73,7.08,7.72,6.77,,4.32,16,16,16,0,2.5,low,
112,112,1,0,0,1,0,1342,3,w,121,1,149,14,1,10.41,10.78,11.79,8.143,11.44,4.44,5.04,3.9,4.85,4.74,13,13,13,0,2.5,low,
113,113,1,0,0,0,1,1342,3,w,121,1,149,16,1,2.56,2.6,2.1,1.017,0.35,3.2,3.45,2.83,2.98,2.95,16,16,16,0,2.5,low,
114,114,1,0,0,1,0,1342,3,w,121,1,149,14,0,7.12,7.94,7.37,4.657,9.16,5.07,5.74,4.92,5.11,4.86,13,13,13,,2.5,low,
115,115,1,0,0,0,1,1342,3,w,121,1,149,15,0,7.39,4.8,7.48,3.241,7.25,5.45,5.68,5.4,5.05,4.37,14,14,14,,2.5,low,
116,116,1,0,0,1,0,1342,3,w,121,1,149,12,0,3.95,4.86,4.42,2.218,3.98,4.15,4.41,4.02,4.18,4.6,12,12,12,,2.5,low,
117,117,1,0,0,1,0,2662,4,w,303,1,223,10,0,5.7,5.29,7.28,7.178,8.85,6.92,7.38,7.06,6.64,6.98,9,9,9,,2.5,low,
118,118,1,0,0,1,0,2662,4,w,303,1,223,12,1,4.66,5.27,5.32,3.73,5.62,4.31,4.81,4.1,4.69,4.89,12,12,12,0,2.5,low,
119,119,1,0,0,1,0,3103,4,w,354,1,265,20,1,2.46,3.05,1.94,1.107,1.31,3.97,4.39,3.79,3.94,3.64,22,22,22,0,2.5,low,
120,120,1,0,0,1,0,3103,4,w,354,1,265,12,0,9.29,9.16,9.08,,5.57,5.41,5.63,4.91,,5.21,13,13,13,,2.5,low,
121,121,0,0,1,1,0,3730,4,r,425,1,291,13,0,6.34,8.43,6.67,,7.36,4.11,4.8,3.92,,3.44,14,14,14,,2.5,low,
122,122,0,0,1,0,1,42154,4,w,5385,1,361,6,1,0,0,0,,0,4.26,4.9,3.86,5.55,5.46,6,6,6,,2.5,low,FLAGGED
123,123,1,0,0,0,1,1154,3,w,98,1,199,8,1,5.62,7.01,4.04,4.087,5.55,5.24,6.08,4.81,5.94,6.3,8,8,8,0,3.7,high,
124,124,1,0,0,0,1,1264,3,w,98,3,226,8,1,6.83,6.94,6.08,3.822,5.7,4.31,5.03,3.98,4.77,4.04,9,9,9,0,3.7,high,
125,125,0,1,1,0,1,1264,3,w,98,3,226,18,1,7.36,5.96,6.8,,6.09,3.87,4.19,3.32,,3.09,21,21,21,1,3.7,high,
126,126,0,0,1,0,1,1679,3,r,151,1,353,15,1,14.95,15.24,12.08,6.448,5.83,3.5,4.02,3.17,3.33,3.5,16,16,16,,3.7,high,
127,127,1,0,0,0,1,1595,3,w,159,1,228,9,1,2.75,5.76,1.2,0.307,1.18,3.99,4.61,3.65,4.69,4.67,9,9,9,0,3.7,high,
128,128,0,0,1,0,1,1595,3,w,159,1,228,11,1,15.21,16.99,12.99,9.881,15.8,5.63,6.33,4.71,5.16,5.35,11,11,11,,3.7,high,
129,129,1,0,0,1,0,1902,3,r,176,1,244,6,1,14.37,12.67,15.49,10.574,14.47,5.13,5.44,5.47,5.47,5,7,7,7,0,3.7,high,
130,130,1,0,0,0,1,1058,3,w,99,1,185,16,1,2.03,3.52,0.35,0.41,0.25,2.88,3.12,2.36,2.99,3.09,16,16,16,0,4,high,
131,131,0,0,1,0,1,1058,3,w,99,1,185,19,1,8,9.98,6.09,4.672,7.18,2.69,3.18,2.52,2.67,2.66,19,19,19,,4,high,
132,132,0,0,1,0,1,2618,4,w,303,1,397,19,1,4.04,4.48,4.44,0.12,9.01,3.51,3.83,3.43,3.73,3.77,20,20,20,,4,high,
133,133,0,0,1,1,0,3019,4,w,354,1,546,18,0,6.36,5.81,5.21,3.795,4.82,4.17,4.39,3.97,4.12,3.97,18,18,18,,4,high,
134,134,1,0,0,1,0,3019,4,w,354,1,546,20,1,6.84,6.53,6.28,4.492,6.6,3.57,3.77,3.1,3.46,3.97,20,20,20,0,4,high,
135,135,0,0,1,1,0,3019,4,w,354,1,546,19,1,2.02,1.89,1.94,0.021,3.54,3.28,3.57,3.21,3.45,3.67,18,18,18,,4,high,
136,136,0,0,1,1,0,3019,4,w,354,1,546,17,0,3.62,4.18,4.18,4.654,7.31,3.77,4.62,3.37,3.51,3.53,19,19,19,,4,high,
137,137,0,0,1,0,1,3424,4,w,403,1,520,16,1,2.99,2.04,1.51,0.31,1.99,3.44,4.33,2.84,2.97,3.12,18,18,18,,4,high,
138,138,0,0,1,1,0,3424,4,w,403,1,520,19,1,3.45,3.71,3.62,0.047,5.74,3.39,3.74,3.39,3.73,3.68,20,20,20,,4,high,
139,139,0,0,1,0,1,3945,4,r,460,1,185,17,1,10.42,13.79,14.25,,7.41,4.99,5.41,4.76,,3.55,23,23,23,,4,high,
140,140,0,0,1,0,1,4661,4,g,587,1,88,9,1,5.99,6.17,3.98,2.503,1.68,4.84,5.36,4.54,4.74,4.71,11,11,11,,4,high,
141,141,0,0,1,1,0,4779,4,r,592,1,139,11,1,6.8,6.39,6.73,4.162,6.21,5.3,4.88,4.5,3.61,4.4,15,15,15,,4,high,
142,142,1,0,0,1,0,1110,3,w,99,1,136,14,1,5.02,5.79,5.77,3.918,5.96,3.51,3.71,3.62,4.14,4.27,14,14,14,0,1.5,low,
143,143,0,0,1,1,0,6135,5,w,959,1,125,16,1,10.66,8.74,11.23,5.248,9.93,4.45,5.3,4.23,3.9,4.03,15,15,15,,1.5,low,
144,144,0,0,1,0,1,1144,4,w,107,1,219,10,0,8.48,10.31,8.88,5.902,8.19,6.03,6.74,6.06,6.26,6.65,9,9,9,,2,low,
145,145,0,0,1,0,1,1147,4,w,107,1,242,8,0,15.1,16.77,15.69,10.007,8.19,6.67,7.6,6.59,6.45,5.5,7,7,7,,4.5,high,
146,146,1,0,0,1,0,1474,4,w,140,1,152,16,1,6.79,6.97,6.99,,6.85,6.5,6.38,5.21,,4.13,19,19,19,0,3,low,
147,147,1,0,0,1,0,2897,5,g,331,1,251,11,1,4.53,3.06,4.29,2.235,2.62,3.49,4.54,3.17,3.67,4.01,10,10,10,0,3,low,
148,148,0,0,1,1,0,1925,4,g,180,1,94,14,1,3.99,5.04,7.02,,7.19,4.53,4.82,4.37,,4.64,16,16,16,,0,low,
149,149,1,0,0,1,0,2089,5,g,191,1,142,13,1,5.37,6.67,6.23,3.793,7.05,2.51,2.91,2.38,2.58,2.98,16,16,16,0,4,high,
150,150,0,0,1,0,1,2089,5,g,191,1,142,13,1,5.58,3.72,8.75,8.445,11.24,3.29,3.89,3.2,3.96,3.66,13,13,13,,4,high,
151,151,0,0,1,1,0,2238,5,w,251,1,312,12,0,7.95,7.45,8.27,4.069,9.41,5.52,5.82,4.8,4.88,4.66,12,12,12,,2.7,low,
152,152,0,0,1,0,1,2238,5,w,251,1,312,9,0,13.05,11.42,13.52,8.469,13.63,6.58,7.07,6.22,6.49,6.61,9,9,9,,2.7,low,
153,153,0,0,1,1,0,2507,5,w,286,1,299,11,0,7.95,7.45,8.27,4.069,9.41,5.38,5.97,4.7,4.55,4.59,11,11,11,,2.7,low,
154,154,0,0,1,0,1,2507,5,w,286,1,299,17,0,14.25,13.41,10.81,8.476,10.63,5.39,5.61,5.15,5.53,4.48,18,18,18,,2.7,low,
155,155,0,0,1,0,1,2736,5,w,315,1,350,12,0,1.41,3.26,1.4,0.861,2.56,5.25,5.65,4.72,5.38,5.15,12,12,12,,2.7,low,
156,156,0,0,1,0,1,2942,5,w,316,1,358,13,0,1.41,3.26,1.4,0.861,2.56,4.51,5.02,3.94,4.76,4.38,13,13,13,,2.7,low,
157,157,1,0,0,1,0,3804,5,w,422,1,353,15,1,9.35,7.17,8.88,6.559,12.37,3.92,3.9,3.62,4.48,3.6,14,14,14,0,2.7,low,
158,158,0,0,1,1,0,3804,5,w,422,1,353,11,0,9.35,12.15,13.53,7.271,13.69,7.64,7.64,7.91,8.4,6.49,10,10,10,,2.7,low,
159,159,1,0,0,1,0,4094,5,w,423,1,367,16,1,10.25,7.68,9.18,6.065,11.99,4.14,4.09,3.82,4.42,3.8,15,15,15,0,2.7,low,
160,160,0,0,1,1,0,4094,5,w,423,1,367,18,0,9.59,12.27,12.06,7.747,12.66,5.96,6.49,5.52,5.4,4.93,17,17,17,,2.7,low,
161,161,1,0,0,1,0,3958,5,g,469,1,194,14,1,5.16,5.06,4.8,,5.85,3.58,4.11,3.61,,2.66,14,14,14,0,2.7,low,
